&b / °	R_0 / 1/s
-2.6	0.8
-2.5	2.0
-2.4	1.6
-2.3	2.2
-2.2	2.6
-2.1	1.7
-2.0	2.4
-1.9	2.3
-1.8	1.8
-1.7	1.9
-1.6	2.3
-1.5	2.5
-1.4	3.4
-1.3	4.7
-1.2	10.7
-1.1	19.4
-1.0	35.7
-0.9	122.2
-0.8	456.8
-0.7	1084.0
-0.6	1849.3
-0.5	2585.5
-0.4	3187.9
-0.3	3887.5
-0.2	5356.0
-0.1	6619.9
0.0	7128.2
0.1	7265.1
0.2	6652.5
0.3	5222.4
0.4	3697.3
0.5	2342.9
0.6	972.7
0.7	280.7
0.8	139.3
0.9	75.0
1.0	34.4
1.1	17.5
1.2	6.7
1.3	3.1
1.4	2.4
1.5	2.2
1.6	2.2
1.7	2.1
1.8	1.7
1.9	2.0
2.0	2.1
2.1	1.4
2.2	1.5
2.3	2.1
2.4	1.8
2.5	1.0
2.6	1.8
