&b / °	R_0 / 1/s
2.0	24.2
2.7	27.3
3.4	34.3
4.1	40.4
4.8	120.3
5.5	408.5
6.2	545.6
6.9	566.6
7.6	540.3
8.3	487.7
9.0	935.2
9.7	533.1
10.4	407.7
11.1	330.6
11.8	281.3
12.5	239.8
13.2	195.6
13.9	159.2
14.6	147.1
15.3	135.2
16.0	119.7
16.7	106.4
17.4	105.8
18.1	213.2
18.8	99.3
19.5	97.4
20.2	113.3
20.9	95.0
21.6	80.5
22.3	73.0
23.0	71.2
23.7	68.3
24.4	65.7
25.1	65.8
25.8	58.0
26.5	56.4
27.2	54.0
27.9	64.9
28.6	44.8
29.3	48.4
30.0	44.0
30.7	42.9
31.4	43.2
32.1	51.4
32.8	38.3
33.5	42.2
34.2	36.6
34.9	38.1
