&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s
26.5			
26.6			
26.7			
26.8			
26.9			
27.0			22.0
27.1			20.9
27.2			21.4
27.3			21.1
27.4			21.1
27.5			22.1
27.6			29.7
27.7			30.0
27.8			26.4
27.9			22.0
28.0			19.0
28.1			20.6
28.2			20.3
28.3			18.5
28.4			18.5
28.5	20.0		
28.6	17.2		
28.7	19.1		
28.8	17.8		
28.9	17.0		
29.0	19.3		
29.1	17.1		
29.2	16.3		
29.3	16.2		
29.4	17.3		
29.5	18.1		
29.6	18.0		
29.7	12.9		
29.8	15.3		
29.9	18.3		
30.0	16.2		
30.1	15.8		
30.2	16.9		
30.3	16.1		
30.4	16.4		
30.5	16.4		
30.6	18.5		
30.7	15.4		
30.8	14.8		
30.9	17.1		
31.0	15.9		
31.1	17.8		
31.2	16.8		
31.3	27.3		
31.4	38.2		
31.5	46.6		
31.6	40.6		
31.7	28.8		
31.8	24.8		
31.9	15.7		
32.0	16.0		
32.1	14.0		
32.2	12.2		
32.3	13.9		
32.4	17.4		
