&b / °	R_0 / 1/s	R_1 / 1/s
0.0		
0.5		
1.0		
1.5	13.6	
2.0	12.8	
2.5	12.7	
3.0	12.5	
3.5	12.1	
4.0	12.9	
4.5	12.2	
5.0	11.1	
5.5	13.7	
6.0	15.7	
6.5	18.7	
7.0	18.6	
7.5	26.4	
8.0	27.2	
8.5	35.5	
9.0	36.5	
9.5	40.7	
10.0	44.8	
10.5	44.2	
11.0	44.2	
11.5	44.4	
12.0	45.4	
12.5	41.5	
13.0	44.0	
13.5	79.7	
14.0	43.6	
14.5	41.0	
15.0	150.4	
15.5	42.2	
16.0	35.3	
16.5	35.7	
17.0	37.7	
17.5	35.7	
18.0	32.8	
18.5	33.9	
19.0	32.2	
19.5	34.6	
20.0	27.0	
20.5	30.2	
21.0	27.9	
21.5	25.1	
22.0	25.6	
22.5	19.9	
23.0	23.1	
23.5	23.8	
24.0	22.9	
24.5	21.1	
25.0	24.3	
25.5	17.6	
26.0	22.1	
26.5	21.4	
27.0	21.5	
27.5	24.7	
28.0	17.3	
28.5	17.2	
29.0	16.5	
29.5	18.2	
30.0	16.6	
30.5	16.8	
31.0	18.9	
31.5	45.5	
32.0	16.1	
32.5	15.6	
33.0	15.5	
33.5	15.4	
34.0	14.3	
34.5	12.9	
35.0	13.3	
35.5		13.7
36.0		13.0
36.5		14.9
37.0		12.9
37.5		12.9
38.0		12.5
38.5		11.3
39.0		13.6
39.5		11.3
40.0		11.0
40.5		10.8
41.0		10.7
41.5		10.1
42.0		10.4
42.5		10.4
43.0		13.2
43.5		11.5
44.0		11.0
44.5		10.8
45.0		10.8
45.5		9.6
46.0		9.9
46.5		11.3
47.0		11.9
47.5		9.0
48.0		10.1
48.5		10.4
49.0		9.5
49.5		11.5
50.0		11.7
50.5		9.5
51.0		9.9
51.5		11.9
52.0		12.6
52.5		9.6
53.0		8.0
53.5		8.7
54.0		9.7
54.5		11.6
55.0		8.8
