&b / °	R_0 / 1/s
2.0	13.3
2.5	11.1
3.0	16.1
3.5	385.8
4.0	1035.7
4.5	1198.0
5.0	1170.5
5.5	1040.9
6.0	891.6
6.5	1200.9
7.0	2061.7
7.5	748.0
8.0	488.8
8.5	397.8
9.0	328.8
9.5	262.1
10.0	221.3
10.5	198.4
11.0	181.6
11.5	170.6
12.0	151.8
12.5	165.4
13.0	258.3
13.5	126.7
14.0	121.9
14.5	842.5
15.0	109.2
15.5	95.3
16.0	85.7
16.5	82.8
17.0	69.5
17.5	68.7
18.0	59.5
18.5	57.0
19.0	53.9
19.5	95.6
20.0	47.7
20.5	40.0
21.0	41.0
21.5	36.1
22.0	172.5
22.5	42.2
23.0	34.0
23.5	29.7
24.0	27.5
24.5	24.1
25.0	25.8
