&b / °	R_0 / 1/s
2.0	14.2
2.1	11.9
2.2	10.8
2.3	12.9
2.4	11.0
2.5	12.6
2.6	11.7
2.7	11.9
2.8	14.8
2.9	14.0
3.0	16.7
3.1	16.4
3.2	23.2
3.3	38.4
3.4	126.5
3.5	274.0
3.6	459.4
3.7	609.4
3.8	749.9
3.9	850.5
4.0	917.9
4.1	960.6
4.2	1016.0
4.3	1051.8
4.4	1070.5
4.5	1112.0
4.6	1114.6
4.7	1105.2
4.8	1089.0
4.9	1077.6
5.0	1084.4
5.1	1063.5
5.2	1041.9
5.3	1005.1
5.4	989.9
5.5	962.4
5.6	928.9
5.7	908.5
5.8	884.3
5.9	851.5
6.0	832.6
6.1	902.6
6.2	1170.4
6.3	1526.8
6.4	1526.2
6.5	1265.8
6.6	905.4
6.7	769.1
6.8	744.0
6.9	877.5
7.0	1596.1
7.1	2582.6
7.2	2808.3
7.3	2335.5
7.4	1271.1
7.5	765.9
7.6	570.5
7.7	521.2
7.8	484.0
7.9	475.7
8.0	463.1
8.1	437.6
8.2	428.9
8.3	414.8
8.4	397.5
8.5	381.9
8.6	372.2
8.7	340.7
8.8	335.0
8.9	322.3
9.0	318.0
9.1	308.6
9.2	292.3
9.3	266.0
9.4	259.4
9.5	249.6
9.6	239.7
9.7	230.9
9.8	235.3
9.9	223.0
10.0	215.2
10.1	204.3
10.2	189.5
10.3	190.1
10.4	185.3
10.5	184.4
10.6	180.8
10.7	173.8
10.8	175.7
10.9	172.0
11.0	166.7
11.1	161.2
11.2	159.4
11.3	156.3
11.4	144.5
11.5	155.6
11.6	147.4
11.7	138.4
11.8	141.5
11.9	138.8
12.0	134.3
12.1	135.0
12.2	132.9
12.3	128.1
12.4	130.5
12.5	145.5
12.6	170.6
12.7	214.9
12.8	325.4
12.9	336.7
13.0	277.2
13.1	175.8
13.2	139.5
13.3	135.2
13.4	125.7
13.5	120.5
13.6	120.5
13.7	116.2
13.8	113.7
13.9	115.9
14.0	113.2
14.1	121.9
14.2	135.2
14.3	214.1
14.4	504.4
14.5	747.2
14.6	742.9
14.7	464.2
14.8	202.3
14.9	124.0
15.0	102.1
15.1	105.8
15.2	94.7
15.3	93.4
15.4	94.8
15.5	86.5
15.6	91.4
15.7	86.9
15.8	87.2
15.9	82.6
16.0	76.9
16.1	81.0
16.2	76.4
16.3	76.5
16.4	79.8
16.5	74.4
16.6	73.7
16.7	73.8
16.8	72.9
16.9	69.9
17.0	68.2
17.1	65.7
17.2	64.5
17.3	65.7
17.4	63.9
17.5	62.8
17.6	56.4
17.7	63.6
17.8	54.9
17.9	56.1
18.0	61.2
18.1	56.7
18.2	56.5
18.3	51.5
18.4	54.4
18.5	56.7
18.6	50.9
18.7	48.0
18.8	52.2
18.9	50.4
19.0	54.0
19.1	55.0
19.2	52.9
19.3	59.7
19.4	66.3
19.5	84.2
19.6	89.0
19.7	80.9
19.8	52.9
19.9	44.6
20.0	46.3
20.1	37.8
20.2	41.9
20.3	37.6
20.4	42.3
20.5	44.2
20.6	40.3
20.7	40.8
20.8	41.7
20.9	36.3
21.0	37.3
21.1	40.1
21.2	37.1
21.3	37.0
21.4	35.0
21.5	42.0
21.6	39.4
21.7	36.9
21.8	43.6
21.9	72.0
22.0	136.9
22.1	188.7
22.2	181.0
22.3	117.4
22.4	68.6
22.5	38.3
22.6	35.3
22.7	33.1
22.8	33.7
22.9	31.7
23.0	27.7
23.1	28.1
23.2	28.8
23.3	28.5
23.4	28.7
23.5	25.2
23.6	24.9
23.7	27.9
23.8	26.3
23.9	23.0
24.0	27.0
24.1	26.2
24.2	24.9
24.3	22.0
24.4	22.8
24.5	21.1
24.6	23.1
24.7	24.2
24.8	25.3
24.9	20.3
25.0	21.9
25.1	20.9
25.2	22.2
25.3	20.4
25.4	19.4
25.5	20.2
25.6	20.7
25.7	20.3
25.8	21.9
25.9	21.5
26.0	22.5
26.1	25.3
26.2	25.6
26.3	20.5
26.4	25.3
26.5	28.4
26.6	33.6
26.7	25.1
26.8	22.9
26.9	20.9
27.0	21.5
27.1	18.6
27.2	19.3
27.3	18.9
27.4	18.3
27.5	16.1
27.6	17.0
27.7	16.5
27.8	15.7
27.9	17.9
28.0	16.1
28.1	16.1
28.2	14.7
28.3	14.3
28.4	19.1
28.5	13.3
28.6	13.9
28.7	14.9
28.8	17.6
28.9	14.8
29.0	16.7
29.1	17.3
29.2	14.8
29.3	15.9
29.4	14.1
29.5	18.0
29.6	16.5
29.7	19.2
29.8	16.5
29.9	22.2
30.0	32.9
30.1	43.5
30.2	49.0
30.3	36.3
30.4	27.6
30.5	18.0
30.6	16.1
30.7	16.3
30.8	16.3
30.9	12.3
31.0	16.4
