&b / °	R_0 / 1/s	R_1 / 1/s
2.0	14.2	28.4
2.1	11.9	29.8
2.2	10.8	34.4
2.3	12.9	31.5
2.4	11.0	30.6
2.5	12.6	31.5
2.6	11.7	34.2
2.7	11.9	33.0
2.8	14.8	33.7
2.9	14.0	37.5
3.0	16.7	35.0
3.1	16.4	41.4
3.2	23.2	53.4
3.3	38.4	62.3
3.4	126.5	74.4
3.5	274.0	83.0
3.6	459.4	92.0
3.7	609.4	103.0
3.8	749.9	115.1
3.9	850.5	137.4
4.0	917.9	178.1
4.1	960.6	216.3
4.2	1016.0	273.9
4.3	1051.8	300.7
4.4	1070.5	338.6
4.5	1112.0	364.8
4.6	1114.6	373.6
4.7	1105.2	356.8
4.8	1089.0	355.5
4.9	1077.6	330.8
5.0	1084.4	310.7
5.1	1063.5	270.0
5.2	1041.9	261.5
5.3	1005.1	242.2
5.4	989.9	226.3
5.5	962.4	217.5
5.6	928.9	229.5
5.7	908.5	208.3
5.8	884.3	175.9
5.9	851.5	154.9
6.0	832.6	173.5
6.1	902.6	214.2
6.2	1170.4	289.2
6.3	1526.8	332.5
6.4	1526.2	310.2
6.5	1265.8	221.0
6.6	905.4	171.6
6.7	769.1	182.2
6.8	744.0	182.1
6.9	877.5	179.7
7.0	1596.1	184.0
7.1	2582.6	178.8
7.2	2808.3	193.4
7.3	2335.5	200.1
7.4	1271.1	207.9
7.5	765.9	197.4
7.6	570.5	194.4
7.7	521.2	197.6
7.8	484.0	193.3
7.9	475.7	183.9
8.0	463.1	186.7
8.1	437.6	189.9
8.2	428.9	198.8
8.3	414.8	195.4
8.4	397.5	197.1
8.5	381.9	198.9
8.6	372.2	206.9
8.7	340.7	178.0
8.8	335.0	175.0
8.9	322.3	178.2
9.0	318.0	162.5
9.1	308.6	170.2
9.2	292.3	165.5
9.3	266.0	168.0
9.4	259.4	154.1
9.5	249.6	154.4
9.6	239.7	146.4
9.7	230.9	143.4
9.8	235.3	153.0
9.9	223.0	152.1
10.0	215.2	155.3
10.1	204.3	148.3
10.2	189.5	146.0
10.3	190.1	144.7
10.4	185.3	143.5
10.5	184.4	140.4
10.6	180.8	143.2
10.7	173.8	143.5
10.8	175.7	153.6
10.9	172.0	174.4
11.0	166.7	209.7
11.1	161.2	263.5
11.2	159.4	317.6
11.3	156.3	338.3
11.4	144.5	221.5
11.5	155.6	144.3
11.6	147.4	129.1
11.7	138.4	138.1
11.8	141.5	137.2
11.9	138.8	132.4
12.0	134.3	131.7
12.1	135.0	144.0
12.2	132.9	169.3
12.3	128.1	214.9
12.4	130.5	331.9
12.5	145.5	497.6
12.6	170.6	787.5
12.7	214.9	851.7
12.8	325.4	532.5
12.9	336.7	197.3
13.0	277.2	121.0
13.1	175.8	113.6
13.2	139.5	106.1
13.3	135.2	110.7
13.4	125.7	101.1
13.5	120.5	99.0
13.6	120.5	96.0
13.7	116.2	88.5
13.8	113.7	85.2
13.9	115.9	86.9
14.0	113.2	86.5
14.1	121.9	82.7
14.2	135.2	84.8
14.3	214.1	73.0
14.4	504.4	76.0
14.5	747.2	77.0
14.6	742.9	74.9
14.7	464.2	75.9
14.8	202.3	67.1
14.9	124.0	65.0
15.0	102.1	71.2
15.1	105.8	64.6
15.2	94.7	62.9
15.3	93.4	62.3
15.4	94.8	63.4
15.5	86.5	60.9
15.6	91.4	55.7
15.7	86.9	61.7
15.8	87.2	57.1
15.9	82.6	55.3
16.0	76.9	56.1
16.1	81.0	53.0
16.2	76.4	53.5
16.3	76.5	46.9
16.4	79.8	47.8
16.5	74.4	49.5
16.6	73.7	46.3
16.7	73.8	45.2
16.8	72.9	44.7
16.9	69.9	46.4
17.0	68.2	43.7
17.1	65.7	44.9
17.2	64.5	40.2
17.3	65.7	41.6
17.4	63.9	37.7
17.5	62.8	39.5
17.6	56.4	39.3
17.7	63.6	37.3
17.8	54.9	38.5
17.9	56.1	37.3
18.0	61.2	35.3
18.1	56.7	36.8
18.2	56.5	33.8
18.3	51.5	36.5
18.4	54.4	35.0
18.5	56.7	34.1
18.6	50.9	36.4
18.7	48.0	37.9
18.8	52.2	37.3
18.9	50.4	39.8
19.0	54.0	47.2
19.1	55.0	53.2
19.2	52.9	50.7
19.3	59.7	44.6
19.4	66.3	35.1
19.5	84.2	32.5
19.6	89.0	28.8
19.7	80.9	31.7
19.8	52.9	29.3
19.9	44.6	28.2
20.0	46.3	26.9
20.1	37.8	26.6
20.2	41.9	27.5
20.3	37.6	29.9
20.4	42.3	25.6
20.5	44.2	27.1
20.6	40.3	28.3
20.7	40.8	26.3
20.8	41.7	25.8
20.9	36.3	27.1
21.0	37.3	29.4
21.1	40.1	28.9
21.2	37.1	28.5
21.3	37.0	33.3
21.4	35.0	32.5
21.5	42.0	31.9
21.6	39.4	33.2
21.7	36.9	29.8
21.8	43.6	29.1
21.9	72.0	27.5
22.0	136.9	25.0
22.1	188.7	27.1
22.2	181.0	24.4
22.3	117.4	27.3
22.4	68.6	26.8
22.5	38.3	25.2
22.6	35.3	24.1
22.7	33.1	26.3
22.8	33.7	33.5
22.9	31.7	34.9
23.0	27.7	35.8
23.1	28.1	27.3
23.2	28.8	23.6
23.3	28.5	24.6
23.4	28.7	22.7
23.5	25.2	22.2
23.6	24.9	22.2
23.7	27.9	23.2
23.8	26.3	18.5
23.9	23.0	22.2
24.0	27.0	21.0
24.1	26.2	19.8
24.2	24.9	20.8
24.3	22.0	19.2
24.4	22.8	21.0
24.5	21.1	19.6
24.6	23.1	17.3
24.7	24.2	22.0
24.8	25.3	20.0
24.9	20.3	21.3
25.0	21.9	22.1
25.1	20.9	19.3
25.2	22.2	22.3
25.3	20.4	18.1
25.4	19.4	20.7
25.5	20.2	21.9
25.6	20.7	27.7
25.7	20.3	33.6
25.8	21.9	48.9
25.9	21.5	73.1
26.0	22.5	64.2
26.1	25.3	46.9
26.2	25.6	25.7
26.3	20.5	18.0
26.4	25.3	19.6
26.5	28.4	18.1
26.6	33.6	16.3
26.7	25.1	17.2
26.8	22.9	18.1
26.9	20.9	16.0
27.0	21.5	18.3
27.1	18.6	17.5
27.2	19.3	17.5
27.3	18.9	16.5
27.4	18.3	14.9
27.5	16.1	17.8
27.6	17.0	15.6
27.7	16.5	13.4
27.8	15.7	13.9
27.9	17.9	14.6
28.0	16.1	15.1
28.1	16.1	16.3
28.2	14.7	13.4
28.3	14.3	15.4
28.4	19.1	13.2
28.5	13.3	17.6
28.6	13.9	12.7
28.7	14.9	13.0
28.8	17.6	15.0
28.9	14.8	15.7
29.0	16.7	14.6
29.1	17.3	13.8
29.2	14.8	14.1
29.3	15.9	14.1
29.4	14.1	14.4
29.5	18.0	13.9
29.6	16.5	12.7
29.7	19.2	13.4
29.8	16.5	13.4
29.9	22.2	14.2
30.0	32.9	12.5
30.1	43.5	13.3
30.2	49.0	14.4
30.3	36.3	13.9
30.4	27.6	15.3
30.5	18.0	12.8
30.6	16.1	12.6
30.7	16.3	15.1
30.8	16.3	12.4
30.9	12.3	12.6
31.0	16.4	12.5
