&b / °	R_0 / 1/s  (dt = 8)
0.0	1803.1
0.2	2398.3
0.4	1908.4
0.6	834.8
0.8	90.3
1.0	17.9
1.2	5.9
1.4	1.3
1.6	1.0
1.8	0.4
2.0	0.0
2.2	0.3
2.4	0.5
2.6	0.6
2.8	0.4
3.0	0.5
3.2	0.5
3.4	2.5
3.6	9.4
3.8	16.6
4.0	21.0
4.2	21.9
4.4	19.3
4.6	25.6
4.8	23.1
5.0	23.6
5.2	23.9
5.4	19.5
5.6	21.1
5.8	17.9
6.0	18.0
6.2	29.8
6.4	34.5
6.6	20.4
6.8	14.4
7.0	40.6
7.2	79.5
7.4	24.3
7.6	13.3
7.8	8.5
8.0	7.6
8.2	9.6
8.4	7.4
8.6	6.4
8.8	6.8
9.0	5.9
9.2	5.6
9.4	5.4
9.6	3.9
9.8	3.8
10.0	3.8
10.2	3.5
10.4	3.4
10.6	3.5
10.8	3.3
11.0	3.4
11.2	2.5
11.4	1.6
11.6	3.3
11.8	3.8
12.0	3.3
12.2	3.5
12.4	1.9
12.6	4.1
12.8	7.9
13.0	6.1
13.2	3.5
13.4	3.1
13.6	3.1
13.8	2.1
14.0	2.1
14.2	2.3
14.4	14.5
14.6	12.4
14.8	4.3
15.0	1.6
15.2	2.4
15.4	1.9
15.6	1.9
15.8	2.6
16.0	1.8
16.2	1.0
16.4	2.8
16.6	1.0
16.8	1.8
17.0	1.6
17.2	1.9
17.4	1.5
17.6	1.3
17.8	1.1
18.0	1.6
18.2	1.0
18.4	0.8
18.6	1.3
18.8	1.4
19.0	1.3
19.2	1.3
19.4	1.4
19.6	2.3
19.8	1.1
20.0	0.8
20.2	0.6
20.4	0.6
20.6	2.1
20.8	1.0
21.0	1.3
21.2	0.5
21.4	0.8
21.6	0.4
21.8	1.1
22.0	4.1
22.2	3.4
22.4	1.1
22.6	1.0
22.8	1.0
23.0	0.3
23.2	0.5
23.4	0.9
23.6	0.8
23.8	0.3
24.0	0.6
24.2	0.6
24.4	0.3
24.6	0.5
24.8	0.8
25.0	0.5
